"contrast","type","up","down"
"WT_Root_FlightVsGround","spaceflight","2503","578"
"WT_Shoot_FlightVsGround","spaceflight","335","259"
"A68_Root_FlightVsGround","spaceflight","2806","3610"
"A68_Shoot_FlightVsGround","spaceflight","79","419"
"D130_Root_FlightVsGround","spaceflight","420","299"
"D130_Shoot_FlightVsGround","spaceflight","327","890"
"A68vsWT_Root_FlightInteraction","interaction","2","55"
"A68vsWT_Shoot_FlightInteraction","interaction","2","3"
"D130vsWT_Root_FlightInteraction","interaction","0","20"
"D130vsWT_Shoot_FlightInteraction","interaction","40","155"
