term,estimate_log,std_err,z,p_value,fold_change
Intercept,2.781155925308194,0.2041465313058704,13.62333176820536,2.9098370249362055e-42,16.137664105257457
C(condition)[T.FL],-1.6265031665157725,0.286270359430736,-5.68170302280041,1.3336008290894641e-08,0.19661590651794622
C(genotype)[T.A68],-0.06242595523565834,0.2834595492944719,-0.22022879592885805,0.8256929712001992,0.9394826240076206
C(genotype)[T.D130],-0.03232718789248512,0.21820150973163271,-0.1481529066056624,0.8822220966619531,0.9681897502863389
C(condition)[T.FL]:C(genotype)[T.A68],0.8518331199050344,0.397128822838459,2.1449793389877834,0.03195449895667851,2.3439396385352005
C(condition)[T.FL]:C(genotype)[T.D130],0.7108699294327158,0.34012843716181546,2.0900043976461773,0.036617404666579624,2.035761457370883
day,0.39524550077332865,0.029334711921107617,13.473645210367044,2.2355106501484677e-41,1.4847486531237477
day:C(condition)[T.FL],0.4994161222728375,0.042749045944849705,11.682509193705313,1.566033189830237e-31,1.647758900052601
Group Var,2.3025327751463,0.6189430066900764,3.7201046788775627,0.00019914022279949564,
