"","A68_Root_FlightVsGround","A68_Shoot_FlightVsGround","D130_Root_FlightVsGround","D130_Shoot_FlightVsGround","WT_Root_FlightVsGround","WT_Shoot_FlightVsGround"
"DrouSaTic",Inf,-7.07695743652098,Inf,3.11632422273453,Inf,Inf
"Hypoxia",Inf,7.65915089011208,Inf,-2.08442266014171,Inf,25.3196822911996
"Heat",27.9864545434558,13.9650157446252,18.4768319006995,8.11014245731437,3.01709134560287,Inf
"BioMone",Inf,-23.4789143331693,Inf,6.11822627977912,Inf,Inf
"LighUV",28.320768409142,-3.60972151740282,17.1131047446071,-76.6364201446945,Inf,Inf
"FarRed",Inf,-30.9162751315352,Inf,-17.3590612635005,Inf,-6.9178242496339
"LowPH",-3.55767811465615,Inf,1.86788815607147,10.1476794451216,-70.3571841544381,Inf
"Nitrogen",4.36160643804905,-1.91463865289063,1.25193554768783,-14.1272894984707,48.1926450779424,Inf
"Cold",1.69411495329556,-55.171388526018,5.16385718903172,-8.93634365497873,28.8846094115192,28.6295447208989
"FeDeficiency",26.0187817581944,1.2031343462735,8.43946032254486,2.02478660402562,10.4129538204185,28.0013246163526
"Herbicide",14.7415487484664,-15.6350329625347,21.1678242836318,-15.5965369221491,Inf,10.5697577816666
"Wounding",Inf,-54.1957458568395,Inf,-36.9142885126598,Inf,32.0032851664737
"Genotoxic",Inf,-19.2202809690416,Inf,-24.081475300067,Inf,10.0203698684428
"Drought.Light",Inf,-22.3095595596996,Inf,-26.38643982233,Inf,18.00210917245
"Radiation",Inf,1.1229644180608,Inf,5.45534161513858,Inf,36.6945438339475
